tmdb_id,title,release_date,budget,runtime,genres,popularity,vote_average,vote_count,production_companies,directors,cast,imdb_id,mpaa_rating,collection_id,lead_actor_1_name,lead_actor_1_id,lead_actor_1_character,lead_actor_2_name,lead_actor_2_id,lead_actor_2_character,opening_weekend_domestic
1226578,Longlegs,10/7/24,10000000,101,"['Crime', 'Horror', 'Thriller']",12.8271,6.559,2355,"['C2 Motion Picture Group', 'Saturn Films', 'Oddfellows Entertainment', 'Traffic.', 'Range Media Partners']",['Osgood Perkins'],"['Maika Monroe', 'Nicolas Cage', 'Blair Underwood', 'Alicia Witt', 'Michelle Choi-Lee']",tt23468450,R,,Maika Monroe,1094091,Agent Lee Harker,Nicolas Cage,2963,Longlegs,22400119
929590,Civil War,10/4/24,50000000,109,"['War', 'Action', 'Drama']",11.8926,6.852,3969,"['DNA Films', 'IPR.VC', 'A24']",['Alex Garland'],"['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee']",tt17279496,,,Kirsten Dunst,205,Lee,Wagner Moura,52583,Joel,25537368
426063,Nosferatu,25/12/24,50000000,133,"['Horror', 'Fantasy']",10.9224,6.7,3286,"['Focus Features', 'Studio 8', 'Maiden Voyage Pictures', 'Birch Hill Road Entertainment']",['Robert Eggers'],"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe']",tt5040012,R,,Lily-Rose Depp,1459885,Ellen Hutter,Nicholas Hoult,3292,Thomas Hutter,21652560
1206617,The Best Christmas Pageant Ever,7/11/24,10000000,99,"['Comedy', 'Drama', 'Family']",9.8769,6.8,100,"['Kingdom Story Company', 'FletChet Entertainment', 'Lionsgate', 'Lumenas Studios', 'Media Capital Technologies']",['Dallas Jenkins'],"['Judy Greer', 'Pete Holmes', 'Molly Belle Wright', 'Lauren Graham', 'Sebastian Billingsley-Rodriguez']",tt2347285,,,Judy Greer,20750,Grace Bradley,Pete Holmes,1177838,Bob Bradley,10773559
967847,Ghostbusters: Frozen Empire,20/3/24,100000000,115,"['Fantasy', 'Adventure', 'Comedy']",10.9642,6.481,1986,"['Ghost Corps', 'Columbia Pictures']",['Gil Kenan'],"['Mckenna Grace', 'Paul Rudd', 'Carrie Coon', 'Finn Wolfhard', 'Dan Aykroyd']",tt21235248,PG-13,2980,Mckenna Grace,1172108,Phoebe Spengler,Paul Rudd,22226,Gary Grooberson,45004673
746036,The Fall Guy,24/4/24,125000000,127,"['Action', 'Comedy', 'Romance']",18.1125,6.982,3374,"['87North Productions', 'Entertainment 360', 'Universal Pictures']",['David Leitch'],"['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer']",tt1684562,,,Ryan Gosling,30614,Colt Seavers,Emily Blunt,5081,Jody Moreno,27747035
957452,The Crow,21/8/24,50000000,111,"['Action', 'Fantasy', 'Horror']",11.8968,5.802,1174,"['Davis Films', 'Pressman Film', 'Hassell Free Productions', 'Electric Shadow Company', '30WEST', 'Ashland Hill Media Finance', 'FilmNation Entertainment', 'Maze Pictures', 'Occupant Entertainment']",['Rupert Sanders'],"['Bill Skarsgård', 'FKA twigs', 'Danny Huston', 'Josette Simon', 'Laura Birn']",tt1340094,R,,Bill Skarsgård,137905,Eric,FKA twigs,1503200,Shelly Webster,4644666
1032823,Trap,31/7/24,30000000,105,"['Crime', 'Thriller']",12.1958,6.256,2549,['Blinding Edge Pictures'],['M. Night Shyamalan'],"['Josh Hartnett', 'Ariel Donoghue', 'Saleka Night Shyamalan', 'Alison Pill', 'Hayley Mills']",tt26753003,PG-13,,Josh Hartnett,2299,Cooper,Ariel Donoghue,3014800,Riley,15454146
848538,Argylle,31/1/24,200000000,139,"['Action', 'Adventure', 'Comedy']",15.3418,6.019,1620,"['Marv', 'Apple Studios', 'Cloudy Productions']",['Matthew Vaughn'],"['Bryce Dallas Howard', 'Sam Rockwell', 'Bryan Cranston', ""Catherine O'Hara"", 'Henry Cavill']",tt15009428,PG-13,,Bryce Dallas Howard,18997,Elly Conway,Sam Rockwell,6807,Aidan Wilde,17473540
1116490,Cash Out,26/4/24,0,90,"['Action', 'Thriller']",9.4488,6.219,224,"['Convergence Entertainment', 'BondIt Media Capital', 'Transparency Media', 'Streamline Global', 'Taurus Film', 'Saban Films', 'Lionsgate']",['Randall Emmett'],"['John Travolta', 'Kristin Davis', 'Lukas Haas', 'Quavo', 'Bernard White']",tt24131288,,1149170,John Travolta,8891,Mason Goddard,Kristin Davis,38025,Amelia Decker,46168
1079485,Winnie-the-Pooh: Blood and Honey 2,26/3/24,500000,93,"['Horror', 'Thriller']",8.754,5.861,433,"['Jagged Edge Productions', 'ITN Distribution']",['Rhys Frake-Waterfield'],"['Scott Chambers', 'Tallulah Evans', 'Ryan Oliva', 'Lewis Santer', 'Marcus Massey']",tt23330554,NR,1079486,Scott Chambers,1482026,Christopher Robin,Tallulah Evans,93492,Lexy,533144
799583,The Ministry of Ungentlemanly Warfare,18/4/24,60000000,120,"['Action', 'Comedy', 'War']",8.6416,7.03,1695,"['Jerry Bruckheimer Films', 'Black Bear Pictures', 'Toff Guy Films']",['Guy Ritchie'],"['Henry Cavill', 'Eiza González', 'Alan Ritchson', 'Henry Golding', 'Cary Elwes']",tt5177120,R,,Henry Cavill,73968,Gus March-Phillips,Eiza González,1222992,Marjorie Stewart,8913698
975511,The Return,28/11/24,20000000,116,"['History', 'Drama', 'Adventure']",11.0099,6.519,365,"['Picomedia', 'RAI Cinema', 'Redwave Films', 'Heretic', 'Kabo Films', 'Marvelous Productions', 'Ithaca Films']",['Uberto Pasolini'],"['Ralph Fiennes', 'Juliette Binoche', 'Charlie Plummer', 'Marwan Kenzari', 'Claudio Santamaria']",tt19861162,,,Ralph Fiennes,5469,Odysseus (Ulisse),Juliette Binoche,1137,Penelope,361505
634492,Madame Web,14/2/24,80000000,117,"['Action', 'Fantasy']",17.8618,5.32,2413,"['Columbia Pictures', 'di Bonaventura Pictures']",['S.J. Clarkson'],"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim']",tt11057302,,,Dakota Johnson,118545,Cassandra Webb,Sydney Sweeney,115440,Julia Cornwall,15335860
1111873,Abigail,16/4/24,28000000,109,"['Horror', 'Thriller', 'Crime']",8.8052,6.709,1820,"['Project X Entertainment', 'Radio Silence', 'Universal Pictures', 'Vinson Films']","['Matt Bettinelli-Olpin', 'Tyler Gillett']","['Melissa Barrera', 'Dan Stevens', 'Alisha Weir', 'William Catlett', 'Kathryn Newton']",tt27489557,,,Melissa Barrera,1373659,Joey,Dan Stevens,221018,Frank,10297110
1064486,Memoir of a Snail,17/10/24,4350000,94,"['Animation', 'Drama', 'Comedy']",9.8576,8.062,699,"['Arenamedia', 'MIFF Premiere Fund']",['Adam Elliot'],"['Sarah Snook', 'Kodi Smit-McPhee', 'Jacki Weaver', 'Magda Szubanski', 'Dominique Pinon']",tt23770030,,,Sarah Snook,235416,Grace (voice),Kodi Smit-McPhee,113505,Gilbert (voice),64816
1066262,The Convert,14/3/24,0,119,"['Action', 'Drama']",6.5517,6.116,155,"['Jump Film and Television', 'MBK Productions', 'New Zealand Film Commission', 'Mister Smith Entertainment', 'Brouhaha Entertainment', 'Kismet Film Company']",['Lee Tamahori'],"['Guy Pearce', 'Tioreore Ngatai-Melbourne', 'Antonio Te Maioha', 'Jacqueline McKenzie', 'Te Kohe Tuhaka']",tt20113412,NR,,Guy Pearce,529,Thomas Munro,Tioreore Ngatai-Melbourne,1622074,Rangimai,2963
1100782,Smile 2,16/10/24,28000000,127,"['Horror', 'Mystery']",8.7838,6.593,1915,"['Paramount Pictures', 'Temple Hill Entertainment', 'Bad Feeling']",['Parker Finn'],"['Naomi Scott', 'Rosemarie DeWitt', 'Lukas Gage', 'Miles Gutierrez-Riley', 'Peter Jacobson']",tt29268110,,1100788,Naomi Scott,240724,Skye Riley,Rosemarie DeWitt,14892,Elizabeth Riley,23021692
1039773,The American Society of Magical Negroes,15/3/24,0,105,"['Fantasy', 'Comedy']",9.3895,4.851,131,"['Sight Unseen Pictures', 'Juba Lane']",['Kobi Libii'],"['Justice Smith', 'David Alan Grier', 'An-Li Bogan', 'Drew Tarver', 'Michaela Watkins']",tt30007864,,,Justice Smith,1029934,Aren,David Alan Grier,58563,Roger,1304270
