tmdb_id,title,release_date,budget_adj,opening_weekend_domestic_adj,director_power,director_momentum,cast_power,cast_momentum,studio_power,studio_momentum,in_series,prev_opening_adj,season_dump,season_holiday,season_shoulder,season_summer,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,rating_G,rating_NC-17,rating_NR,rating_PG,rating_PG-13,rating_R,rating_Unrated,runtime_scaled
45077,Every Day,2010-01-14,16.62411492640761,9.585805476003976,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.6050409074665506
23172,The Spy Next Door,2010-01-15,17.537514727334507,16.480118732328204,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5458044455246054
27569,Extraordinary Measures,2010-01-21,17.639297419303922,15.999166575008168,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1650330977787377
22894,Legion,2010-01-21,17.463406757041206,17.067603965428347,0.0,0.0,0.0,0.0,17.488109275138363,17.488109275138363,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.1903856738729338
46838,Tucker and Dale vs. Evil,2010-01-22,15.814748240846455,11.264892982302213,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8419867552343316
44835,Hesher,2010-01-22,16.151220438770956,12.134207206251189,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1650330977787377
40663,Gasland,2010-01-24,14.86595281949974,8.268968929639236,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.224269559720683
35656,As Good As Dead,2010-01-25,17.753062434003823,7.699465172801265,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.1903856738729338
34583,The Final,2010-01-28,14.205310870166173,10.277903319955136,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6050409074665506
12201,Edge of Darkness,2010-01-28,18.587336836112645,17.051055545715283,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8166341791401356
13477,When in Rome,2010-01-29,18.21264339051892,16.71896963071361,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.7235138313504411
27023,Saint John of Las Vegas,2010-01-29,15.540311437914744,10.37333038102897,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.138169064944058
35688,Why Did I Get Married Too?,2010-02-04,17.201042500387473,17.582540569366376,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0535800269079167
44877,4.3.2.1,2010-02-06,15.731366643684664,13.737530771850391,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.8166341791401356
38408,Life As We Know It,2010-02-10,17.842896370521096,16.87990458284973,0.0,0.0,15.80267898108928,15.80267898108928,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6389247933142999
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-02-12,19.248735314262085,17.38357523756419,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5796883313723545
43754,The Killing Jar,2010-02-14,13.289021154079633,8.147567881941919,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6642773694084959
11324,Shutter Island,2010-02-14,18.587336836112645,17.92040404452218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.060599879920986
35221,Father of Invention,2010-02-14,16.985375893040285,11.124535741031838,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6050409074665506
23759,Centurion,2010-02-15,16.690216899194567,11.05471612130067,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3680950596987696
42171,The Infidel,2010-02-18,16.985375893040285,12.514476075427972,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1057966358367925
37414,The Killer Inside Me,2010-02-19,16.770259602527126,9.70302841683563,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.3427424836045735
28510,Universal Soldier: Regeneration,2010-02-23,16.84436757096001,12.453344410367736,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.3680950596987696
33107,And Soon the Darkness,2010-02-25,17.355642999579477,11.283212641755847,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.7235138313504411
28211,Chloe,2010-02-25,16.84436757096001,14.100714581582764,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4273315216407148
139406,Radio Free Albemuth,2010-02-25,15.486244226544942,9.01201517957153,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.4019789455465188
23742,Cop Out,2010-02-26,17.606507597209095,17.107342956144425,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.224269559720683
29427,The Crazies,2010-02-26,17.201042500387473,16.982112069725176,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.1311492119309885
12155,Alice in Wonderland,2010-03-03,19.50362756290785,18.95977089884117,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2835060216626283
